time,value1,value2,value3
151732,0,1,0
151732,0,1,0
151732,0,1,0
151732,0,1,0
151732,0,1,0
151732,0,1,0
151732,0,1,0
151732,0,1,0
151732,0,1,0
151732,0,1,0
151732,0,1,0
151732,0,1,0
151732,0,1,0
151732,0,1,0
151732,0,1,0
151732,0,1,0
151732,0,1,0
151732,0,1,0
151732,0,1,0
151732,0,1,0
151732,0,1,0
151732,0,1,0
151732,0,1,0
151732,0,1,0
151732,0,1,0
151732,0,1,0
151733,0,1,0
151733,0,1,0
151733,0,1,0
151733,0,1,0
151733,0,1,0
151733,0,1,0
151733,0,1,0
151733,0,0.9666,0.031
151733,0,0.9333,0.062
151733,0,0.9,0.093
151733,0,0.8666,0.1239
151733,0,0.8333,0.1549
151733,0,0.8,0.1857
151733,0,0.7666,0.2166
151733,0,0.7333,0.1856
151733,0,0.7,0.1546
151733,0,0.6666,0.1236
151733,0,0.6333,0.0926
151733,0,0.6,0.0617
151733,0,0.5666,0.0308
151733,0,0.5333,0
151733,0,0.5,0
151733,0,0.4666,0
151733,0,0.4333,0
151733,0,0.4,0
151733,0,0.3666,0
151733,0,0.3333,0
151733,0,0.3,0
151733,0,0.2666,0
151733,0,0.2333,0
151734,0,0.2,0
151734,0,0.1666,0
151734,0,0.1333,0
151734,0,0.1,0
151734,0,0.0666,0.0308
151734,0,0.0333,0.0616
151734,0,0,0.0925
151734,0,0,0.0616
151734,0,0,0.0308
151734,0,0,0
151734,0,0,0
151734,0,0,0
151734,0,0,0
151734,0,0,0
151734,0,0,0
151734,0,0,0
151734,0,0,0
151734,0,0,0
151734,0,0,0
151734,0,0,0.0309
151734,0,0,0.0618
151734,0,0,0.0927
151734,0,0,0.1237
151734,0,0,0.0928
151734,0,0,0.0618
151734,0,0,0.0309
151734,0,0,0
151734,0,0,0
151734,0,0,0
151734,0,0,0
151735,0,0,0
151735,0,0,0
151735,0,0,0
151735,0,0,0
151735,0,0,0
151735,0,0,0
151735,0,0,0.031
151735,0,0,0.062
151735,0,0,0.0931
151735,0,0,0.1241
151735,0,0,0.1552
151735,0,0,0.1863
